date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:23:17	5877/5877	---MCZ	200	added ('OK')	application/javascript	etag:W/%22603fdb87-16f5%22	http://findmatthew.com/scripts/modal.js	C:/My%20Web%20Sites/porta/findmatthew.com/scripts/modal.js	(from http://findmatthew.com/)
14:23:17	89049/89049	---MCZ	200	added ('OK')	application/javascript	etag:W/%22603fdb87-15bd9%22	http://findmatthew.com/scripts/pt.min.js	C:/My%20Web%20Sites/porta/findmatthew.com/scripts/pt.min.js	(from http://findmatthew.com/)
14:23:18	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2264556a8c-247b%22	http://findmatthew.com/img/filler.jpg	C:/My%20Web%20Sites/porta/findmatthew.com/img/filler.b.delayed	(from http://findmatthew.com/)
14:23:49	210416/210416	---M--	200	added ('OK')	image/png	etag:%22603fdb87-335f0%22	http://findmatthew.com/img/me.png	C:/My%20Web%20Sites/porta/findmatthew.com/img/me.png	(from http://findmatthew.com/)
14:23:54	31069/31069	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-795d%22	http://findmatthew.com/img/thumb-4.jpg	C:/My%20Web%20Sites/porta/findmatthew.com/img/thumb-4.jpg	(from http://findmatthew.com/)
14:24:01	43889/43889	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-ab71%22	http://findmatthew.com/img/thumb-5.jpg	C:/My%20Web%20Sites/porta/findmatthew.com/img/thumb-5.jpg	(from http://findmatthew.com/)
14:24:06	23851/23851	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-5d2b%22	http://findmatthew.com/img/thumb-6.jpg	C:/My%20Web%20Sites/porta/findmatthew.com/img/thumb-6.jpg	(from http://findmatthew.com/)
14:24:10	315448/315448	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-4d038%22	http://findmatthew.com/img/thumb-3.jpg	C:/My%20Web%20Sites/porta/findmatthew.com/img/thumb-3.jpg	(from http://findmatthew.com/)
14:24:15	51638/51638	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-c9b6%22	http://findmatthew.com/img/blog-1.jpg	C:/My%20Web%20Sites/porta/findmatthew.com/img/blog-1.jpg	(from http://findmatthew.com/)
14:24:15	350941/350941	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-55add%22	http://findmatthew.com/img/thumb-2.jpg	C:/My%20Web%20Sites/porta/findmatthew.com/img/thumb-2.jpg	(from http://findmatthew.com/)
14:24:16	35212/35212	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-898c%22	http://findmatthew.com/img/blog-2.jpg	C:/My%20Web%20Sites/porta/findmatthew.com/img/blog-2.jpg	(from http://findmatthew.com/)
14:24:23	50412/50412	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-c4ec%22	http://findmatthew.com/img/blog-3.jpg	C:/My%20Web%20Sites/porta/findmatthew.com/img/blog-3.jpg	(from http://findmatthew.com/)
